Navjot Singh - Assignment 2

Stock   Item   Dept    Loc   Qty On Hand  Ordered Qty  Need To Order Price/Unit      Profit Before Disc   Discount   Final Profit

11111B1 fabri c         144  36,352    13,240   23,112       69.63   21,901.20    0        21,901.20

11112D1 elect rical     294  68,841    38,850   29,991       56.33   88,420.50    0        88,420.50

11113B1 fabri c         852  99,621     5,080   94,541       86.29   38,353.20    0        38,353.20

11114D1 paint           047  55,551    22,590   32,961       78.71   78,058.90    0        78,058.90

11115C1 paint           830  96,257    65,180   31,077       98.29    6,542.20    0         6,542.20

11116B1 elect rical     075  57,621    11,240   46,381       71.65    5,346.00    0         5,346.00

11117C1 tools           286  14,656    91,840   77,184       24.43   43,651.20    0        43,651.20

11118A1 hardw are       737  15,345    82,970   67,625       76.93   82,882.10    0        82,882.10

11119D1 garde n         725  81,790    45,130   36,660       78.63   48,571.90    0        48,571.90

11110D1 elect rical     009  83,649    41,530   42,119       44.57   50,992.10    0        50,992.10

11111B1 bathr oom       004   4,531    29,270   24,739       31.50   22,005.00    0        22,005.00

11112C1 elect rical     626  86,840    33,720   53,120       98.02    5,234.40    0         5,234.40

11113C1 paint           012  39,321    50,350   11,029       60.04   23,014.00    0        23,014.00

11114C1 plumb ing       695  26,221    70,640   44,419       64.08   26,611.20    0        26,611.20

11115B1 plumb ing       956  28,493    22,640    5,853       26.31   95,658.40    0        95,658.40

11116D1 fabri c         027  38,934    59,760   20,826       88.25   73,820.00    0        73,820.00

11117B1 bathr oom       979  96,130    81,260   14,870       44.23   94,129.80    0        94,129.80

11118A1 offic e         639  31,855    27,070    4,785       25.43   88,390.10    0        88,390.10

11119A1 outdo or        556  48,336    69,250   20,914       78.53   38,202.50    0        38,202.50

11120C1 elect rical     697  51,010    55,820    4,810       83.96   86,647.20    0        86,647.20

11121B1 fabri c         026  12,324     2,270   10,054        8.37   18,999.90    0        18,999.90

11122C1 garde n         557  31,731    88,790   57,059       34.14   31,290.60    0        31,290.60


Total Final Profit:   668,722.40
